Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	200	2	2	1	798	23484	0.043527	TS	SPYH-method	2	Moore_R200_LVKf4.fsm
0	3	200	2	2	1	738	21634	0.240660	TS	S-method	3	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	2256	66770	0.042532	TS	H-method	0	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	2196	72772	0.061541	TS	SPY-method	1	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	1389	46295	0.096583	TS	SPYH-method	2	Moore_R200_LVKf4.fsm
0	3	200	2	2	2	1193	38779	0.487323	TS	S-method	3	Moore_R200_LVKf4.fsm
0	3	300	2	2	0	1094	27116	0.032021	TS	H-method	0	Moore_R300.fsm
0	3	300	2	2	0	913	26909	0.064542	TS	SPY-method	1	Moore_R300.fsm
0	3	300	2	2	0	679	18145	0.045030	TS	SPYH-method	2	Moore_R300.fsm
0	3	300	2	2	0	716	18932	0.283689	TS	S-method	3	Moore_R300.fsm
0	3	300	2	2	1	2044	55540	0.047531	TS	H-method	0	Moore_R300.fsm
0	3	300	2	2	1	1604	49018	0.076050	TS	SPY-method	1	Moore_R300.fsm
0	3	300	2	2	1	1069	32311	0.085555	TS	SPYH-method	2	Moore_R300.fsm
0	3	300	2	2	1	1080	31540	0.511841	TS	S-method	3	Moore_R300.fsm
0	3	300	2	2	2	3516	104590	0.078552	TS	H-method	0	Moore_R300.fsm
0	3	300	2	2	2	2953	96383	0.109073	TS	SPY-method	1	Moore_R300.fsm
0	3	300	2	2	2	1917	64673	0.199132	TS	SPYH-method	2	Moore_R300.fsm
0	3	300	2	2	2	1751	57155	1.026700	TS	S-method	3	Moore_R300.fsm
0	3	300	2	2	0	2175	60299	0.078551	TS	H-method	0	Moore_R300_L5E63.fsm
0	3	300	2	2	0	1839	71817	0.178619	TS	SPY-method	1	Moore_R300_L5E63.fsm
0	3	300	2	2	0	1387	42273	0.141093	TS	SPYH-method	2	Moore_R300_L5E63.fsm
0	3	300	2	2	0	1751	55613	0.863133	TS	S-method	3	Moore_R300_L5E63.fsm
0	3	300	2	2	1	3914	116582	0.134589	TS	H-method	0	Moore_R300_L5E63.fsm
0	3	300	2	2	1	3483	131255	0.222147	TS	SPY-method	1	Moore_R300_L5E63.fsm
