Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	300	2	2	0	1631	49715	1.469979	TS	SPYH-method	2	Moore_R300_L5E63.fsm
0	3	300	2	2	1	3914	116582	0.139092	TS	H-method	0	Moore_R300_L5E63.fsm
0	3	300	2	2	1	3483	131255	0.216144	TS	SPY-method	1	Moore_R300_L5E63.fsm
0	3	300	2	2	1	2548	82694	4.039682	TS	SPYH-method	2	Moore_R300_L5E63.fsm
0	3	300	2	2	2	6431	205433	0.234155	TS	H-method	0	Moore_R300_L5E63.fsm
0	3	300	2	2	2	6542	253016	0.340226	TS	SPY-method	1	Moore_R300_L5E63.fsm
0	3	300	2	2	2	3760	131024	9.240135	TS	SPYH-method	2	Moore_R300_L5E63.fsm
0	3	400	2	2	0	1619	44541	0.064043	TS	H-method	0	Moore_R400.fsm
0	3	400	2	2	0	1300	42628	0.116076	TS	SPY-method	1	Moore_R400.fsm
0	3	400	2	2	0	966	28000	0.727481	TS	SPYH-method	2	Moore_R400.fsm
0	3	400	2	2	1	2997	89365	0.118080	TS	H-method	0	Moore_R400.fsm
0	3	400	2	2	1	2308	78216	0.136091	TS	SPY-method	1	Moore_R400.fsm
0	3	400	2	2	1	1551	48781	1.889254	TS	SPYH-method	2	Moore_R400.fsm
0	3	400	2	2	2	5145	167345	0.141093	TS	H-method	0	Moore_R400.fsm
0	3	400	2	2	2	4269	153979	0.189126	TS	SPY-method	1	Moore_R400.fsm
0	3	400	2	2	2	2406	83458	5.033342	TS	SPYH-method	2	Moore_R400.fsm
0	3	400	2	2	0	2717	77227	0.120080	TS	H-method	0	Moore_R400_kGw0x.fsm
0	3	400	2	2	0	2065	78321	0.258171	TS	SPY-method	1	Moore_R400_kGw0x.fsm
0	3	400	2	2	0	1685	51369	1.878248	TS	SPYH-method	2	Moore_R400_kGw0x.fsm
0	3	400	2	2	1	4604	139426	0.204140	TS	H-method	0	Moore_R400_kGw0x.fsm
0	3	400	2	2	1	3934	145192	0.275181	TS	SPY-method	1	Moore_R400_kGw0x.fsm
0	3	400	2	2	1	2984	96636	5.273501	TS	SPYH-method	2	Moore_R400_kGw0x.fsm
0	3	400	2	2	2	7855	257839	0.369245	TS	H-method	0	Moore_R400_kGw0x.fsm
0	3	400	2	2	2	7289	278003	0.376249	TS	SPY-method	1	Moore_R400_kGw0x.fsm
0	3	400	2	2	2	4758	163432	14.057334	TS	SPYH-method	2	Moore_R400_kGw0x.fsm
0	3	500	2	2	0	3199	91867	0.184123	TS	H-method	0	Moore_R500.fsm
0	3	500	2	2	0	2610	98060	0.318212	TS	SPY-method	1	Moore_R500.fsm
0	3	500	2	2	0	1976	63084	3.406262	TS	SPYH-method	2	Moore_R500.fsm
0	3	500	2	2	1	5433	167907	0.281191	TS	H-method	0	Moore_R500.fsm
0	3	500	2	2	1	4831	179705	0.391259	TS	SPY-method	1	Moore_R500.fsm
0	3	500	2	2	1	3430	112660	8.261486	TS	SPYH-method	2	Moore_R500.fsm
0	3	500	2	2	2	9336	311762	0.493331	TS	H-method	0	Moore_R500.fsm
0	3	500	2	2	2	9082	349236	0.485322	TS	SPY-method	1	Moore_R500.fsm
0	3	500	2	2	2	5165	181391	21.114021	TS	SPYH-method	2	Moore_R500.fsm
0	3	500	2	2	0	2487	70589	0.132088	TS	H-method	0	Moore_R500_EaX8Q.fsm
0	3	500	2	2	0	2134	77300	0.273181	TS	SPY-method	1	Moore_R500_EaX8Q.fsm
0	3	500	2	2	0	1521	46511	2.439620	TS	SPYH-method	2	Moore_R500_EaX8Q.fsm
0	3	500	2	2	1	4305	130489	0.213141	TS	H-method	0	Moore_R500_EaX8Q.fsm
0	3	500	2	2	1	3872	140598	0.323213	TS	SPY-method	1	Moore_R500_EaX8Q.fsm
0	3	500	2	2	1	2507	81707	6.242147	TS	SPYH-method	2	Moore_R500_EaX8Q.fsm
0	3	500	2	2	2	7194	235128	0.324217	TS	H-method	0	Moore_R500_EaX8Q.fsm
0	3	500	2	2	2	7312	276322	0.386258	TS	SPY-method	1	Moore_R500_EaX8Q.fsm
0	3	500	2	2	2	4040	140702	15.524308	TS	SPYH-method	2	Moore_R500_EaX8Q.fsm
0	3	600	2	2	0	5116	155420	0.362239	TS	H-method	0	Moore_R600.fsm
