Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	1	4	2	2	1	7	93	0.000000	TS	SPY-method	1	DFSM_R4_ADS.fsm
0	1	4	2	2	1	9	109	0.000000	TS	SPYH-method	2	DFSM_R4_ADS.fsm
0	1	4	2	2	2	20	264	0.000000	TS	H-method	0	DFSM_R4_ADS.fsm
0	1	4	2	2	2	13	215	0.001001	TS	SPY-method	1	DFSM_R4_ADS.fsm
0	1	4	2	2	2	18	256	0.000000	TS	SPYH-method	2	DFSM_R4_ADS.fsm
0	1	4	2	2	0	6	44	0.000000	TS	H-method	0	DFSM_R4_SCSet.fsm
0	1	4	2	2	0	5	47	0.000000	TS	SPY-method	1	DFSM_R4_SCSet.fsm
0	1	4	2	2	0	4	38	0.000000	TS	SPYH-method	2	DFSM_R4_SCSet.fsm
0	1	4	2	2	1	11	101	0.000000	TS	H-method	0	DFSM_R4_SCSet.fsm
0	1	4	2	2	1	10	102	0.000000	TS	SPY-method	1	DFSM_R4_SCSet.fsm
0	1	4	2	2	1	9	93	0.000000	TS	SPYH-method	2	DFSM_R4_SCSet.fsm
0	1	4	2	2	2	23	265	0.000000	TS	H-method	0	DFSM_R4_SCSet.fsm
0	1	4	2	2	2	17	241	0.000000	TS	SPY-method	1	DFSM_R4_SCSet.fsm
0	1	4	2	2	2	19	249	0.001000	TS	SPYH-method	2	DFSM_R4_SCSet.fsm
0	1	5	3	2	0	13	107	0.000000	TS	H-method	0	DFSM_R5_PDS.fsm
0	1	5	3	2	0	11	107	0.000000	TS	SPY-method	1	DFSM_R5_PDS.fsm
0	1	5	3	2	0	9	87	0.000000	TS	SPYH-method	2	DFSM_R5_PDS.fsm
0	1	5	3	2	1	37	387	0.000000	TS	H-method	0	DFSM_R5_PDS.fsm
0	1	5	3	2	1	27	375	0.000000	TS	SPY-method	1	DFSM_R5_PDS.fsm
0	1	5	3	2	1	26	322	0.001000	TS	SPYH-method	2	DFSM_R5_PDS.fsm
0	1	5	3	2	2	110	1366	0.000000	TS	H-method	0	DFSM_R5_PDS.fsm
0	1	5	3	2	2	90	1358	0.001001	TS	SPY-method	1	DFSM_R5_PDS.fsm
0	1	5	3	2	2	84	1230	0.002001	TS	SPYH-method	2	DFSM_R5_PDS.fsm
0	1	5	2	2	0	9	75	0.000000	TS	H-method	0	DFSM_R5_SVS.fsm
0	1	5	2	2	0	7	69	0.000000	TS	SPY-method	1	DFSM_R5_SVS.fsm
0	1	5	2	2	0	8	72	0.001001	TS	SPYH-method	2	DFSM_R5_SVS.fsm
0	1	5	2	2	1	16	158	0.000000	TS	H-method	0	DFSM_R5_SVS.fsm
0	1	5	2	2	1	12	128	0.000000	TS	SPY-method	1	DFSM_R5_SVS.fsm
0	1	5	2	2	1	11	139	0.000000	TS	SPYH-method	2	DFSM_R5_SVS.fsm
0	1	5	2	2	2	33	393	0.000000	TS	H-method	0	DFSM_R5_SVS.fsm
0	1	5	2	2	2	24	312	0.001001	TS	SPY-method	1	DFSM_R5_SVS.fsm
0	1	5	2	2	2	24	356	0.001001	TS	SPYH-method	2	DFSM_R5_SVS.fsm
0	2	4	2	2	0	9	40	0.000000	TS	H-method	0	Mealy_R4_ADS.fsm
0	2	4	2	2	0	8	39	0.000000	TS	SPY-method	1	Mealy_R4_ADS.fsm
0	2	4	2	2	0	6	36	0.000000	TS	SPYH-method	2	Mealy_R4_ADS.fsm
0	2	4	2	2	1	16	91	0.000000	TS	H-method	0	Mealy_R4_ADS.fsm
0	2	4	2	2	1	12	81	0.000000	TS	SPY-method	1	Mealy_R4_ADS.fsm
0	2	4	2	2	1	10	73	0.000000	TS	SPYH-method	2	Mealy_R4_ADS.fsm
0	2	4	2	2	2	30	200	0.000000	TS	H-method	0	Mealy_R4_ADS.fsm
0	2	4	2	2	2	24	193	0.000000	TS	SPY-method	1	Mealy_R4_ADS.fsm
0	2	4	2	2	2	20	165	0.000999	TS	SPYH-method	2	Mealy_R4_ADS.fsm
0	2	4	2	2	0	8	34	0.000000	TS	H-method	0	Mealy_R4_HS.fsm
0	2	4	2	2	0	7	33	0.000000	TS	SPY-method	1	Mealy_R4_HS.fsm
0	2	4	2	2	0	6	29	0.000000	TS	SPYH-method	2	Mealy_R4_HS.fsm
0	2	4	2	2	1	20	98	0.000000	TS	H-method	0	Mealy_R4_HS.fsm
0	2	4	2	2	1	13	78	0.000000	TS	SPY-method	1	Mealy_R4_HS.fsm
0	2	4	2	2	1	15	88	0.001001	TS	SPYH-method	2	Mealy_R4_HS.fsm
0	2	4	2	2	2	40	236	0.000000	TS	H-method	0	Mealy_R4_HS.fsm
