FSMtype	States	Inputs	Outputs	Reduced	StronglyConnected	AccessSmax	AccessSmean	AccessSmedian	AccessSvariance	SepSmax	SepSmean	SepSmedian	SepSvariance	noSVS	SVSmax	SVSmean	SVSmedian	SVSvariance	ADSmax	ADSmean	ADSmedian	ADSvariance
4	100	2	2	1	1	10	5.610000	2.500000	4.117900	3	1.133737	2.000000	0.131205	11	7	5.494382	4.000000	0.429744	-1	-1	-1	-1	DFA_R100_QYGO4.fsm
4	100	2	2	1	1	10	5.680000	5.500000	4.117600	4	1.131717	1.000000	0.132550	20	7	5.312500	5.000000	0.314844	-1	-1	-1	-1	DFA_R100_r40wh.fsm
4	100	2	2	1	1	11	5.920000	6.500000	4.873600	3	1.126263	1.000000	0.124462	24	7	5.394737	6.000000	0.317867	-1	-1	-1	-1	DFA_R100_RsTuY.fsm
4	100	2	2	1	1	11	5.840000	6.500000	4.494400	4	1.132121	2.000000	0.132039	13	8	5.517241	5.000000	0.502576	-1	-1	-1	-1	DFA_R100_Scb3t.fsm
4	100	2	2	1	1	11	5.870000	7.500000	4.453100	4	1.141212	2.000000	0.141069	16	7	5.523810	6.500000	0.273243	-1	-1	-1	-1	DFA_R100_Sj3kG.fsm
4	100	2	2	1	1	15	6.710000	8.500000	10.625900	4	1.130707	1.000000	0.131401	11	7	5.426966	5.000000	0.379498	-1	-1	-1	-1	DFA_R100_SP0Bc.fsm
4	100	2	2	1	1	12	5.960000	7.000000	4.778400	4	1.145455	2.000000	0.146520	11	7	5.449438	6.000000	0.427219	-1	-1	-1	-1	DFA_R100_SQ6lP.fsm
4	100	2	2	1	1	9	5.680000	1.500000	3.637600	3	1.140606	1.000000	0.139018	8	7	5.402174	6.000000	0.414343	-1	-1	-1	-1	DFA_R100_SZ9MR.fsm
4	100	2	2	1	1	12	6.970000	5.500000	5.909100	3	1.127273	1.000000	0.125620	7	7	5.483871	5.000000	0.357267	-1	-1	-1	-1	DFA_R100_TjrfS.fsm
4	100	2	2	1	1	12	5.980000	7.500000	4.779600	3	1.144242	1.000000	0.145255	9	8	5.417582	6.000000	0.550900	-1	-1	-1	-1	DFA_R100_TVqGk.fsm
4	100	2	2	1	1	11	5.730000	8.500000	4.297100	3	1.133939	1.000000	0.135394	15	7	5.470588	6.000000	0.672664	-1	-1	-1	-1	DFA_R100_uabry.fsm
4	100	2	2	1	1	13	6.380000	12.500000	6.875600	3	1.130707	1.000000	0.128976	11	7	5.370787	6.000000	0.323192	-1	-1	-1	-1	DFA_R100_UL6Zn.fsm
4	100	2	2	1	1	10	5.780000	7.500000	4.171600	4	1.133737	1.000000	0.132417	13	7	5.425287	5.000000	0.359361	-1	-1	-1	-1	DFA_R100_uogWS.fsm
4	100	2	2	1	1	10	5.770000	2.500000	3.897100	4	1.147879	1.000000	0.151465	24	7	5.500000	5.500000	0.434211	-1	-1	-1	-1	DFA_R100_v3Wnl.fsm
4	100	2	2	1	1	11	5.420000	5.500000	4.103600	3	1.134949	1.000000	0.134920	7	6	5.505376	5.000000	0.292982	-1	-1	-1	-1	DFA_R100_W4nL4.fsm
4	100	2	2	1	1	11	5.880000	5.000000	4.725600	3	1.142828	1.000000	0.143843	17	7	5.554217	6.000000	0.391639	-1	-1	-1	-1	DFA_R100_wRqVc.fsm
4	100	2	2	1	1	10	5.470000	5.500000	4.009100	4	1.145657	1.000000	0.148279	11	7	5.494382	6.000000	0.609519	-1	-1	-1	-1	DFA_R100_Xeorz.fsm
4	100	2	2	1	1	9	5.450000	3.500000	3.627500	3	1.127677	1.000000	0.124305	9	8	5.494505	5.000000	0.425794	-1	-1	-1	-1	DFA_R100_xo6Dp.fsm
4	100	2	2	1	1	8	5.250000	1.500000	2.907500	3	1.126667	1.000000	0.125168	9	6	5.516484	5.000000	0.249728	-1	-1	-1	-1	DFA_R100_xVArg.fsm
4	100	2	2	1	1	10	5.550000	4.500000	3.927500	4	1.132525	2.000000	0.135164	12	7	5.420455	5.000000	0.470945	-1	-1	-1	-1	DFA_R100_XXYV8.fsm
4	100	2	2	1	1	10	6.030000	7.000000	4.369100	3	1.134343	1.000000	0.137709	11	7	5.516854	5.000000	0.317132	-1	-1	-1	-1	DFA_R100_Y6H7x.fsm
4	100	2	2	1	1	14	5.940000	7.500000	5.796400	3	1.132525	1.000000	0.134356	11	7	5.494382	5.000000	0.362328	-1	-1	-1	-1	DFA_R100_yIUfD.fsm
4	100	2	2	1	1	9	5.400000	6.500000	3.400000	4	1.131111	1.000000	0.127254	10	7	5.522222	5.500000	0.360617	-1	-1	-1	-1	DFA_R100_YoqTB.fsm
4	100	2	2	1	1	10	5.700000	5.000000	4.350000	4	1.150909	2.000000	0.156014	10	7	5.455556	6.500000	0.559136	-1	-1	-1	-1	DFA_R100_yUYwI.fsm
