Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
1	2	10	2	2	0	10	83	0.001000	TS	S-method	0	Mealy_R10.fsm
1	2	10	2	2	0	12	97	0.001001	TS	S-method	0	Mealy_R10_0VFLT.fsm
1	2	10	2	2	0	9	88	0.000000	TS	S-method	0	Mealy_R10_cfetx.fsm
1	2	10	2	2	0	11	108	0.002004	TS	S-method	0	Mealy_R10_NKB8J.fsm
1	2	10	2	2	0	10	88	0.000998	TS	S-method	0	Mealy_R10_qK62k.fsm
1	2	10	2	2	0	10	81	0.000000	TS	S-method	0	Mealy_R10_WTYjL.fsm
1	2	10	2	2	0	8	87	0.002509	TS	S-method	0	Mealy_R10_XyvOQ.fsm
1	2	10	2	2	0	9	108	0.001506	TS	S-method	0	Mealy_R10_YfxFl.fsm
1	2	10	2	2	0	9	85	0.001001	TS	S-method	0	Mealy_R10_YlOac.fsm
1	2	10	2	2	0	11	105	0.001501	TS	S-method	0	Mealy_R10_yZjoV.fsm
1	2	20	2	2	0	17	193	0.004503	TS	S-method	0	Mealy_R20.fsm
1	2	20	2	2	0	24	265	0.003004	TS	S-method	0	Mealy_R20_08i2n.fsm
1	2	20	2	2	0	16	210	0.004005	TS	S-method	0	Mealy_R20_0cQtT.fsm
1	2	20	2	2	0	14	192	0.004003	TS	S-method	0	Mealy_R20_0nDie.fsm
1	2	20	2	2	0	20	220	0.004003	TS	S-method	0	Mealy_R20_1ghJc.fsm
1	2	20	2	2	0	16	242	0.004003	TS	S-method	0	Mealy_R20_cpNZd.fsm
1	2	20	2	2	0	22	242	0.004003	TS	S-method	0	Mealy_R20_h1oFZ.fsm
1	2	20	2	2	0	16	254	0.004002	TS	S-method	0	Mealy_R20_Op4vV.fsm
1	2	20	2	2	0	20	204	0.006004	TS	S-method	0	Mealy_R20_sF0Pv.fsm
1	2	20	2	2	0	17	219	0.004003	TS	S-method	0	Mealy_R20_VH1mI.fsm
1	2	30	2	2	0	22	327	0.009007	TS	S-method	0	Mealy_R30.fsm
1	2	30	2	2	0	27	372	0.013512	TS	S-method	0	Mealy_R30_5xfJZ.fsm
1	2	30	2	2	0	33	412	0.009013	TS	S-method	0	Mealy_R30_cstTZ.fsm
1	2	30	2	2	0	22	354	0.007005	TS	S-method	0	Mealy_R30_GHwoR.fsm
1	2	30	2	2	0	24	349	0.009006	TS	S-method	0	Mealy_R30_IMy0N.fsm
1	2	30	2	2	0	26	399	0.010007	TS	S-method	0	Mealy_R30_L8Mmp.fsm
1	2	30	2	2	0	22	363	0.007992	TS	S-method	0	Mealy_R30_LpxHq.fsm
1	2	30	2	2	0	32	400	0.009015	TS	S-method	0	Mealy_R30_PKBxh.fsm
1	2	30	2	2	0	31	472	0.009010	TS	S-method	0	Mealy_R30_uCaOs.fsm
1	2	30	2	2	0	26	343	0.008005	TS	S-method	0	Mealy_R30_ZpUmQ.fsm
1	2	40	2	2	0	43	563	0.013008	TS	S-method	0	Mealy_R40.fsm
1	2	40	2	2	0	39	608	0.015004	TS	S-method	0	Mealy_R40_2xv51.fsm
1	2	40	2	2	0	45	616	0.015014	TS	S-method	0	Mealy_R40_38lGd.fsm
1	2	40	2	2	0	33	557	0.015009	TS	S-method	0	Mealy_R40_3bzW7.fsm
1	2	40	2	2	0	33	553	0.013011	TS	S-method	0	Mealy_R40_D8HJq.fsm
1	2	40	2	2	0	29	540	0.013010	TS	S-method	0	Mealy_R40_Egr0g.fsm
1	2	40	2	2	0	33	512	0.013014	TS	S-method	0	Mealy_R40_NQmTB.fsm
1	2	40	2	2	0	29	444	0.012005	TS	S-method	0	Mealy_R40_paajH.fsm
1	2	40	2	2	0	37	523	0.013007	TS	S-method	0	Mealy_R40_TqxV7.fsm
1	2	40	2	2	0	36	513	0.013010	TS	S-method	0	Mealy_R40_xeCCe.fsm
1	2	50	2	2	0	40	650	0.020015	TS	S-method	0	Mealy_R50.fsm
1	2	50	2	2	0	44	736	0.023017	TS	S-method	0	Mealy_R50_4toMB.fsm
1	2	50	2	2	0	46	714	0.021534	TS	S-method	0	Mealy_R50_8L2p1.fsm
1	2	50	2	2	0	39	663	0.022014	TS	S-method	0	Mealy_R50_ClYai.fsm
1	2	50	2	2	0	35	646	0.023015	TS	S-method	0	Mealy_R50_j40nK.fsm
1	2	50	2	2	0	40	623	0.019015	TS	S-method	0	Mealy_R50_LRJ3d.fsm
1	2	50	2	2	0	35	760	0.026019	TS	S-method	0	Mealy_R50_n4FnI.fsm
1	2	50	2	2	0	37	674	0.022515	TS	S-method	0	Mealy_R50_p3m9k.fsm
1	2	50	2	2	0	39	658	0.020517	TS	S-method	0	Mealy_R50_RnCle.fsm
1	2	50	2	2	0	45	678	0.020010	TS	S-method	0	Mealy_R50_XR7ma.fsm
1	2	60	2	2	0	55	820	0.031023	TS	S-method	0	Mealy_R60.fsm
1	2	60	2	2	0	48	793	0.043036	TS	S-method	0	Mealy_R60_7YTZQ.fsm
1	2	60	2	2	0	44	864	0.028019	TS	S-method	0	Mealy_R60_97Nbx.fsm
